Processing FPS: 14.48 | Video Playback FPS: 14.47 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.47 | Frames in Buffer: 0
Processing FPS: 14.50 | Video Playback FPS: 14.47 | Frames in Buffer: 1
Processing FPS: 14.50 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.51 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.51 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.51 | Video Playback FPS: 14.61 | Frames in Buffer: 0
Processing FPS: 14.52 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.52 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.52 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.52 | Video Playback FPS: 14.52 | Frames in Buffer: 0
Processing FPS: 14.52 | Video Playback FPS: 14.52 | Frames in Buffer: 0
Processing FPS: 14.53 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.53 | Video Playback FPS: 14.59 | Frames in Buffer: 0
Processing FPS: 14.53 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.54 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.55 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.55 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.55 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.55 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.56 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.56 | Video Playback FPS: 14.59 | Frames in Buffer: 0
Processing FPS: 14.57 | Video Playback FPS: 14.59 | Frames in Buffer: 0
Processing FPS: 14.57 | Video Playback FPS: 14.55 | Frames in Buffer: 0
Processing FPS: 14.57 | Video Playback FPS: 14.65 | Frames in Buffer: 0
