Processing FPS: 39.81 | Video Playback FPS: 39.75 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.76 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.84 | Frames in Buffer: 0
Processing FPS: 39.86 | Video Playback FPS: 39.80 | Frames in Buffer: 0
Processing FPS: 39.83 | Video Playback FPS: 39.82 | Frames in Buffer: 0
Processing FPS: 39.84 | Video Playback FPS: 39.80 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.84 | Frames in Buffer: 0
Processing FPS: 39.80 | Video Playback FPS: 39.74 | Frames in Buffer: 0
Processing FPS: 39.77 | Video Playback FPS: 39.73 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.75 | Frames in Buffer: 0
Processing FPS: 39.90 | Video Playback FPS: 39.81 | Frames in Buffer: 0
Processing FPS: 39.87 | Video Playback FPS: 39.85 | Frames in Buffer: 0
