Processing FPS: 28.21 | Video Playback FPS: 22.66 | Frames in Buffer: 99
Processing FPS: 28.23 | Video Playback FPS: 22.82 | Frames in Buffer: 99
Processing FPS: 28.24 | Video Playback FPS: 22.97 | Frames in Buffer: 99
Processing FPS: 28.26 | Video Playback FPS: 23.11 | Frames in Buffer: 99
Processing FPS: 28.27 | Video Playback FPS: 23.11 | Frames in Buffer: 100
Processing FPS: 28.25 | Video Playback FPS: 23.26 | Frames in Buffer: 100
Processing FPS: 28.30 | Video Playback FPS: 23.40 | Frames in Buffer: 100
Processing FPS: 28.31 | Video Playback FPS: 23.55 | Frames in Buffer: 100
Processing FPS: 28.30 | Video Playback FPS: 23.68 | Frames in Buffer: 100
Processing FPS: 28.29 | Video Playback FPS: 23.82 | Frames in Buffer: 100
Processing FPS: 28.31 | Video Playback FPS: 23.82 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 23.95 | Frames in Buffer: 101
Processing FPS: 28.30 | Video Playback FPS: 24.07 | Frames in Buffer: 101
Processing FPS: 28.30 | Video Playback FPS: 24.19 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 24.31 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 24.42 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 24.53 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 24.64 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 24.74 | Frames in Buffer: 101
Processing FPS: 28.30 | Video Playback FPS: 24.83 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 24.92 | Frames in Buffer: 101
Processing FPS: 28.34 | Video Playback FPS: 25.01 | Frames in Buffer: 101
Processing FPS: 28.33 | Video Playback FPS: 25.10 | Frames in Buffer: 101
Processing FPS: 28.35 | Video Playback FPS: 25.18 | Frames in Buffer: 101
Processing FPS: 28.34 | Video Playback FPS: 25.25 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 25.32 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 25.38 | Frames in Buffer: 101
Processing FPS: 28.32 | Video Playback FPS: 25.44 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 25.50 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 25.54 | Frames in Buffer: 101
Processing FPS: 28.26 | Video Playback FPS: 25.59 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 25.63 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 25.67 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 25.69 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 25.72 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 25.75 | Frames in Buffer: 101
Processing FPS: 28.29 | Video Playback FPS: 25.77 | Frames in Buffer: 101
Processing FPS: 28.29 | Video Playback FPS: 25.78 | Frames in Buffer: 101
Processing FPS: 28.29 | Video Playback FPS: 25.79 | Frames in Buffer: 101
Processing FPS: 28.30 | Video Playback FPS: 25.83 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 25.86 | Frames in Buffer: 101
Processing FPS: 28.26 | Video Playback FPS: 25.89 | Frames in Buffer: 101
Processing FPS: 28.27 | Video Playback FPS: 25.90 | Frames in Buffer: 101
Processing FPS: 28.31 | Video Playback FPS: 25.90 | Frames in Buffer: 101
Processing FPS: 28.31 | Video Playback FPS: 25.91 | Frames in Buffer: 101
Processing FPS: 28.33 | Video Playback FPS: 25.90 | Frames in Buffer: 101
Processing FPS: 28.35 | Video Playback FPS: 25.90 | Frames in Buffer: 101
Processing FPS: 28.35 | Video Playback FPS: 25.89 | Frames in Buffer: 101
Processing FPS: 28.35 | Video Playback FPS: 25.87 | Frames in Buffer: 101
Processing FPS: 28.33 | Video Playback FPS: 25.86 | Frames in Buffer: 101
Processing FPS: 28.31 | Video Playback FPS: 25.83 | Frames in Buffer: 101
Processing FPS: 28.29 | Video Playback FPS: 25.81 | Frames in Buffer: 101
Processing FPS: 28.28 | Video Playback FPS: 25.79 | Frames in Buffer: 101
Processing FPS: 28.26 | Video Playback FPS: 25.76 | Frames in Buffer: 101
Processing FPS: 28.25 | Video Playback FPS: 25.73 | Frames in Buffer: 101
Processing FPS: 28.24 | Video Playback FPS: 25.70 | Frames in Buffer: 101
Processing FPS: 28.23 | Video Playback FPS: 25.67 | Frames in Buffer: 101
Processing FPS: 28.22 | Video Playback FPS: 25.64 | Frames in Buffer: 101
Processing FPS: 28.21 | Video Playback FPS: 25.61 | Frames in Buffer: 101
Processing FPS: 28.20 | Video Playback FPS: 25.57 | Frames in Buffer: 101
Processing FPS: 28.17 | Video Playback FPS: 25.53 | Frames in Buffer: 101
Processing FPS: 28.17 | Video Playback FPS: 25.48 | Frames in Buffer: 101
Processing FPS: 28.18 | Video Playback FPS: 25.44 | Frames in Buffer: 101
Processing FPS: 28.18 | Video Playback FPS: 25.39 | Frames in Buffer: 101
Processing FPS: 28.17 | Video Playback FPS: 25.35 | Frames in Buffer: 101
Processing FPS: 28.19 | Video Playback FPS: 25.29 | Frames in Buffer: 101
Processing FPS: 28.17 | Video Playback FPS: 25.24 | Frames in Buffer: 101
Processing FPS: 28.17 | Video Playback FPS: 25.18 | Frames in Buffer: 101
Processing FPS: 28.16 | Video Playback FPS: 25.12 | Frames in Buffer: 101
Processing FPS: 28.16 | Video Playback FPS: 25.06 | Frames in Buffer: 101
Processing FPS: 28.11 | Video Playback FPS: 25.01 | Frames in Buffer: 101
Processing FPS: 28.10 | Video Playback FPS: 24.94 | Frames in Buffer: 101
Processing FPS: 28.08 | Video Playback FPS: 24.88 | Frames in Buffer: 101
Processing FPS: 28.05 | Video Playback FPS: 24.81 | Frames in Buffer: 101
Processing FPS: 28.04 | Video Playback FPS: 24.74 | Frames in Buffer: 101
Processing FPS: 28.03 | Video Playback FPS: 24.67 | Frames in Buffer: 101
Processing FPS: 28.00 | Video Playback FPS: 24.60 | Frames in Buffer: 101
Processing FPS: 27.99 | Video Playback FPS: 24.54 | Frames in Buffer: 101
Processing FPS: 27.97 | Video Playback FPS: 24.47 | Frames in Buffer: 101
Processing FPS: 27.96 | Video Playback FPS: 24.40 | Frames in Buffer: 101
Processing FPS: 27.93 | Video Playback FPS: 24.32 | Frames in Buffer: 101
Processing FPS: 27.90 | Video Playback FPS: 24.24 | Frames in Buffer: 101
Processing FPS: 27.90 | Video Playback FPS: 24.17 | Frames in Buffer: 101
Processing FPS: 27.90 | Video Playback FPS: 24.10 | Frames in Buffer: 101
Processing FPS: 27.88 | Video Playback FPS: 24.05 | Frames in Buffer: 101
